File,URL,Issue,Severity
BenchmarkTest00001.xml,https://192.168.6.149:8443/benchmark/pathtraver-00/BenchmarkTest00001,Private IP address disclosure,low
BenchmarkTest00001.xml,https://192.168.6.149:8443/benchmark/pathtraver-00/BenchmarkTest00001,Private IP address disclosure,low
BenchmarkTest00001.xml,https://192.168.6.149:8443/benchmark/pathtraver-00/BenchmarkTest00001,Allowed HTTP methods,informational
BenchmarkTest00001.xml,https://192.168.6.149:8443/benchmark/pathtraver-00/BenchmarkTest00001/%5C.9453fb4c7e823db44f782094ff535c75%5C,Interesting response,informational
BenchmarkTest00001.xml,https://192.168.6.149:8443/benchmark/pathtraver-00/BenchmarkTest00001,HttpOnly cookie,informational
BenchmarkTest00002.xml,https://192.168.6.149:8443/benchmark/pathtraver-00/BenchmarkTest00002,Private IP address disclosure,low
BenchmarkTest00002.xml,https://192.168.6.149:8443/benchmark/pathtraver-00/BenchmarkTest00002,Private IP address disclosure,low
BenchmarkTest00002.xml,https://192.168.6.149:8443/benchmark/pathtraver-00/BenchmarkTest00002,Allowed HTTP methods,informational
BenchmarkTest00002.xml,https://192.168.6.149:8443/benchmark/pathtraver-00/BenchmarkTest00002/%5C.3550cf3af41a3ae4d664ee35ec56ae02%5C,Interesting response,informational
BenchmarkTest00002.xml,https://192.168.6.149:8443/benchmark/pathtraver-00/BenchmarkTest00002,HttpOnly cookie,informational
BenchmarkTest00003.xml,https://192.168.6.149:8443/benchmark/hash-00/BenchmarkTest00003,Private IP address disclosure,low
BenchmarkTest00003.xml,https://192.168.6.149:8443/benchmark/hash-00/BenchmarkTest00003,Private IP address disclosure,low
BenchmarkTest00003.xml,https://192.168.6.149:8443/benchmark/hash-00/BenchmarkTest00003,Allowed HTTP methods,informational
BenchmarkTest00003.xml,https://192.168.6.149:8443/benchmark/hash-00/BenchmarkTest00003/%5C.%5C,Interesting response,informational
BenchmarkTest00003.xml,https://192.168.6.149:8443/benchmark/hash-00/BenchmarkTest00003,HttpOnly cookie,informational
BenchmarkTest00004.xml,https://192.168.6.149:8443/benchmark/trustbound-00/BenchmarkTest00004,Private IP address disclosure,low
BenchmarkTest00004.xml,https://192.168.6.149:8443/benchmark/trustbound-00/BenchmarkTest00004,Private IP address disclosure,low
BenchmarkTest00004.xml,https://192.168.6.149:8443/benchmark/trustbound-00/BenchmarkTest00004,Allowed HTTP methods,informational
BenchmarkTest00004.xml,https://192.168.6.149:8443/benchmark/trustbound-00/BenchmarkTest00004/%5C.00f52e06532d35ff0d9ab440535171f1%5C,Interesting response,informational
BenchmarkTest00004.xml,https://192.168.6.149:8443/benchmark/trustbound-00/BenchmarkTest00004,HttpOnly cookie,informational
BenchmarkTest00005.xml,https://192.168.6.149:8443/benchmark/crypto-00/BenchmarkTest00005,Allowed HTTP methods,informational
