bug_type,category,priority,message,class,source_path,start_line,end_line
SPRING_ENDPOINT,SECURITY,3,org.owasp.benchmark.helpers.DataBaseServer is a Spring endpoint (Controller),org.owasp.benchmark.helpers.DataBaseServer,org/owasp/benchmark/helpers/DataBaseServer.java,36,87
SPRING_ENDPOINT,SECURITY,3,org.owasp.benchmark.helpers.DataBaseServer is a Spring endpoint (Controller),org.owasp.benchmark.helpers.DataBaseServer,org/owasp/benchmark/helpers/DataBaseServer.java,36,87
SPRING_ENDPOINT,SECURITY,3,org.owasp.benchmark.helpers.DataBaseServer is a Spring endpoint (Controller),org.owasp.benchmark.helpers.DataBaseServer,org/owasp/benchmark/helpers/DataBaseServer.java,36,87
INFORMATION_EXPOSURE_THROUGH_AN_ERROR_MESSAGE,SECURITY,3,Possible information exposure through an error message,org.owasp.benchmark.helpers.DatabaseHelper,org/owasp/benchmark/helpers/DatabaseHelper.java,35,373
SQL_INJECTION_JDBC,SECURITY,3,This use of java/sql/Statement.executeUpdate(Ljava/lang/String;)I can be vulnerable to SQL injection (with JDBC),org.owasp.benchmark.helpers.DatabaseHelper,org/owasp/benchmark/helpers/DatabaseHelper.java,35,373
XSS_SERVLET,SECURITY,2,This use of java/io/PrintWriter.write(Ljava/lang/String;)V could be vulnerable to XSS in the Servlet,org.owasp.benchmark.helpers.DatabaseHelper,org/owasp/benchmark/helpers/DatabaseHelper.java,35,373
DMI_EMPTY_DB_PASSWORD,SECURITY,2,Empty database password in new org.owasp.benchmark.helpers.HibernateUtil(boolean),org.owasp.benchmark.helpers.HibernateUtil,org/owasp/benchmark/helpers/HibernateUtil.java,47,327
HARD_CODE_PASSWORD,SECURITY,1,Hard coded password found,org.owasp.benchmark.helpers.HibernateUtil,org/owasp/benchmark/helpers/HibernateUtil.java,47,327
HARD_CODE_PASSWORD,SECURITY,2,Hard coded password found,org.owasp.benchmark.helpers.HibernateUtil,org/owasp/benchmark/helpers/HibernateUtil.java,47,327
HARD_CODE_PASSWORD,SECURITY,2,Hard coded password found,org.owasp.benchmark.helpers.HibernateUtil,org/owasp/benchmark/helpers/HibernateUtil.java,47,327
