# test name,category,real vulnerability,cwe,Benchmark version: 1.2,2016-06-1
BenchmarkTest01025,pathtraver,True,22,,
BenchmarkTest01238,pathtraver,True,22,,
BenchmarkTest00528,pathtraver,True,22,,
BenchmarkTest00783,pathtraver,True,22,,
BenchmarkTest02378,pathtraver,True,22,,
BenchmarkTest01496,pathtraver,True,22,,
BenchmarkTest02561,pathtraver,True,22,,
BenchmarkTest01111,pathtraver,True,22,,
BenchmarkTest00698,pathtraver,True,22,,
BenchmarkTest00216,pathtraver,True,22,,
BenchmarkTest01571,pathtraver,True,22,,
BenchmarkTest00457,pathtraver,True,22,,
BenchmarkTest02113,pathtraver,True,22,,
BenchmarkTest01989,pathtraver,True,22,,
BenchmarkTest01234,pathtraver,True,22,,
BenchmarkTest01642,pathtraver,True,22,,
BenchmarkTest00040,pathtraver,True,22,,
BenchmarkTest00459,pathtraver,True,22,,
BenchmarkTest00360,pathtraver,True,22,,
BenchmarkTest02555,pathtraver,True,22,,
BenchmarkTest02035,pathtraver,False,22,,
BenchmarkTest01493,pathtraver,False,22,,
BenchmarkTest02202,pathtraver,False,22,,
BenchmarkTest00458,pathtraver,False,22,,
BenchmarkTest01027,pathtraver,False,22,,
BenchmarkTest01331,pathtraver,False,22,,
BenchmarkTest00263,pathtraver,False,22,,
BenchmarkTest02300,pathtraver,False,22,,
BenchmarkTest02563,pathtraver,False,22,,
BenchmarkTest02570,pathtraver,False,22,,
BenchmarkTest01030,pathtraver,False,22,,
BenchmarkTest00958,pathtraver,False,22,,
BenchmarkTest00699,pathtraver,False,22,,
BenchmarkTest02108,pathtraver,False,22,,
BenchmarkTest02468,pathtraver,False,22,,
BenchmarkTest00863,pathtraver,False,22,,
BenchmarkTest01114,pathtraver,False,22,,
BenchmarkTest00134,pathtraver,False,22,,
BenchmarkTest01837,pathtraver,False,22,,
BenchmarkTest01751,pathtraver,False,22,,
BenchmarkTest01736,xpathi,True,643,,
BenchmarkTest01894,xpathi,True,643,,
BenchmarkTest00207,xpathi,True,643,,
BenchmarkTest02100,xpathi,True,643,,
BenchmarkTest01316,xpathi,True,643,,
BenchmarkTest01734,xpathi,True,643,,
BenchmarkTest00607,xpathi,True,643,,
BenchmarkTest00442,xpathi,True,643,,
BenchmarkTest02189,xpathi,True,643,,
BenchmarkTest01224,xpathi,True,643,,
BenchmarkTest00116,xpathi,False,643,,
BenchmarkTest01893,xpathi,False,643,,
BenchmarkTest01735,xpathi,False,643,,
BenchmarkTest00117,xpathi,False,643,,
BenchmarkTest01014,xpathi,False,643,,
BenchmarkTest00852,xpathi,False,643,,
BenchmarkTest01479,xpathi,False,643,,
BenchmarkTest00520,xpathi,False,643,,
BenchmarkTest02370,xpathi,False,643,,
BenchmarkTest01821,xpathi,False,643,,
BenchmarkTest00382,xss,True,79,,
BenchmarkTest00048,xss,True,79,,
BenchmarkTest02129,xss,True,79,,
BenchmarkTest00811,xss,True,79,,
BenchmarkTest01665,xss,True,79,,
BenchmarkTest02126,xss,True,79,,
BenchmarkTest02228,xss,True,79,,
BenchmarkTest01253,xss,True,79,,
BenchmarkTest00145,xss,True,79,,
BenchmarkTest02583,xss,True,79,,
BenchmarkTest02579,xss,True,79,,
BenchmarkTest02396,xss,True,79,,
BenchmarkTest02586,xss,True,79,,
BenchmarkTest02055,xss,True,79,,
BenchmarkTest00715,xss,True,79,,
BenchmarkTest02410,xss,True,79,,
BenchmarkTest02405,xss,True,79,,
BenchmarkTest00153,xss,True,79,,
BenchmarkTest02130,xss,True,79,,
BenchmarkTest00287,xss,True,79,,
BenchmarkTest00546,xss,False,79,,
BenchmarkTest02481,xss,False,79,,
BenchmarkTest01265,xss,False,79,,
BenchmarkTest02687,xss,False,79,,
BenchmarkTest00885,xss,False,79,,
BenchmarkTest02239,xss,False,79,,
BenchmarkTest00718,xss,False,79,,
BenchmarkTest02581,xss,False,79,,
BenchmarkTest00286,xss,False,79,,
BenchmarkTest02684,xss,False,79,,
BenchmarkTest01918,xss,False,79,,
BenchmarkTest02596,xss,False,79,,
BenchmarkTest02695,xss,False,79,,
BenchmarkTest01772,xss,False,79,,
BenchmarkTest00386,xss,False,79,,
BenchmarkTest01053,xss,False,79,,
BenchmarkTest02394,xss,False,79,,
BenchmarkTest00393,xss,False,79,,
BenchmarkTest02401,xss,False,79,,
BenchmarkTest01345,xss,False,79,,
BenchmarkTest01023,ldapi,True,90,,
BenchmarkTest01490,ldapi,True,90,,
BenchmarkTest01241,ldapi,True,90,,
BenchmarkTest02196,ldapi,True,90,,
BenchmarkTest00012,ldapi,True,90,,
BenchmarkTest01243,ldapi,True,90,,
BenchmarkTest01831,ldapi,True,90,,
BenchmarkTest01832,ldapi,True,90,,
BenchmarkTest01326,ldapi,True,90,,
BenchmarkTest02305,ldapi,True,90,,
BenchmarkTest02553,ldapi,False,90,,
BenchmarkTest01743,ldapi,False,90,,
BenchmarkTest02114,ldapi,False,90,,
BenchmarkTest01754,ldapi,False,90,,
BenchmarkTest01024,ldapi,False,90,,
BenchmarkTest01154,ldapi,False,90,,
BenchmarkTest02571,ldapi,False,90,,
BenchmarkTest02115,ldapi,False,90,,
BenchmarkTest01491,ldapi,False,90,,
BenchmarkTest00138,ldapi,False,90,,
BenchmarkTest01685,cmdi,True,78,,
BenchmarkTest00311,cmdi,True,78,,
BenchmarkTest02496,cmdi,True,78,,
BenchmarkTest01533,cmdi,True,78,,
BenchmarkTest02151,cmdi,True,78,,
BenchmarkTest01850,cmdi,True,78,,
BenchmarkTest00573,cmdi,True,78,,
BenchmarkTest01285,cmdi,True,78,,
BenchmarkTest02511,cmdi,True,78,,
BenchmarkTest00981,cmdi,True,78,,
BenchmarkTest00077,cmdi,True,78,,
BenchmarkTest02334,cmdi,True,78,,
BenchmarkTest00740,cmdi,True,78,,
BenchmarkTest02155,cmdi,True,78,,
BenchmarkTest01851,cmdi,True,78,,
BenchmarkTest00306,cmdi,True,78,,
BenchmarkTest02146,cmdi,True,78,,
