TestCase,CWE,Expected,Detected
BenchmarkTest01025,pathtraver,True,True
BenchmarkTest01238,pathtraver,True,True
BenchmarkTest00528,pathtraver,True,True
BenchmarkTest00783,pathtraver,True,True
BenchmarkTest02378,pathtraver,True,True
BenchmarkTest01496,pathtraver,True,True
BenchmarkTest02561,pathtraver,True,True
BenchmarkTest01111,pathtraver,True,True
BenchmarkTest00698,pathtraver,True,True
BenchmarkTest00216,pathtraver,True,True
BenchmarkTest01571,pathtraver,True,True
BenchmarkTest00457,pathtraver,True,True
BenchmarkTest02113,pathtraver,True,False
BenchmarkTest01989,pathtraver,True,True
BenchmarkTest01234,pathtraver,True,True
BenchmarkTest01642,pathtraver,True,True
BenchmarkTest00040,pathtraver,True,True
BenchmarkTest00459,pathtraver,True,True
BenchmarkTest00360,pathtraver,True,True
BenchmarkTest02555,pathtraver,True,True
BenchmarkTest02035,pathtraver,False,False
BenchmarkTest01493,pathtraver,False,True
BenchmarkTest02202,pathtraver,False,True
BenchmarkTest00458,pathtraver,False,True
BenchmarkTest01027,pathtraver,False,True
BenchmarkTest01331,pathtraver,False,True
BenchmarkTest00263,pathtraver,False,True
BenchmarkTest02300,pathtraver,False,True
BenchmarkTest02563,pathtraver,False,True
BenchmarkTest02570,pathtraver,False,False
BenchmarkTest01030,pathtraver,False,True
BenchmarkTest00958,pathtraver,False,False
BenchmarkTest00699,pathtraver,False,True
BenchmarkTest02108,pathtraver,False,True
BenchmarkTest02468,pathtraver,False,True
BenchmarkTest00863,pathtraver,False,True
BenchmarkTest01114,pathtraver,False,True
BenchmarkTest00134,pathtraver,False,True
BenchmarkTest01837,pathtraver,False,True
BenchmarkTest01751,pathtraver,False,True
BenchmarkTest01736,xpathi,True,True
BenchmarkTest01894,xpathi,True,True
BenchmarkTest00207,xpathi,True,True
BenchmarkTest02100,xpathi,True,True
BenchmarkTest01316,xpathi,True,True
BenchmarkTest01734,xpathi,True,True
BenchmarkTest00607,xpathi,True,True
BenchmarkTest00442,xpathi,True,True
BenchmarkTest02189,xpathi,True,True
BenchmarkTest01224,xpathi,True,True
BenchmarkTest00116,xpathi,False,True
BenchmarkTest01893,xpathi,False,True
BenchmarkTest01735,xpathi,False,True
BenchmarkTest00117,xpathi,False,True
BenchmarkTest01014,xpathi,False,True
BenchmarkTest00852,xpathi,False,True
BenchmarkTest01479,xpathi,False,True
BenchmarkTest00520,xpathi,False,True
BenchmarkTest02370,xpathi,False,True
BenchmarkTest01821,xpathi,False,False
BenchmarkTest00382,xss,True,False
BenchmarkTest00048,xss,True,True
BenchmarkTest02129,xss,True,True
BenchmarkTest00811,xss,True,True
BenchmarkTest01665,xss,True,True
BenchmarkTest02126,xss,True,True
BenchmarkTest02228,xss,True,True
BenchmarkTest01253,xss,True,True
BenchmarkTest00145,xss,True,False
BenchmarkTest02583,xss,True,True
BenchmarkTest02579,xss,True,True
BenchmarkTest02396,xss,True,False
BenchmarkTest02586,xss,True,True
BenchmarkTest02055,xss,True,True
BenchmarkTest00715,xss,True,True
