key,rule,severity,component,project,line,message,effort,debt,author,tags,creationDate,updateDate,type,scope,status
AZcc3OKAE4d396A7IEjO,java:S115,CRITICAL,benchmarkjava:src/main/java/org/owasp/benchmark/report/sonarqube/SonarReport.java,benchmarkjava,32,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,2min,2min,github@darkspirit510.de,convention,2025-03-02T22:11:28+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3OKAE4d396A7IEjN,java:S2755,BLOCKER,benchmarkjava:src/main/java/org/owasp/benchmark/report/sonarqube/SonarReport.java,benchmarkjava,63,Disable access to external entities in XML parsing.,15min,15min,github@darkspirit510.de,"cwe, owasp-a4",2025-03-02T22:11:28+0000,2025-05-29T16:18:00+0000,VULNERABILITY,MAIN,OPEN
AZcc3OKAE4d396A7IEjQ,java:S1611,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/report/sonarqube/SonarReport.java,benchmarkjava,76,"Remove the parentheses around the ""result"" parameter (sonar.java.source not set. Assuming 8 or greater.)",2min,2min,github@darkspirit510.de,java8,2025-03-02T22:11:28+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3OKAE4d396A7IEjM,java:S112,MAJOR,benchmarkjava:src/main/java/org/owasp/benchmark/report/sonarqube/SonarReport.java,benchmarkjava,62,Define and throw a dedicated exception instead of using a generic one.,20min,20min,github@darkspirit510.de,"cert, cwe, error-handling",2025-02-15T20:50:35+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3OKAE4d396A7IEjR,java:S2647,CRITICAL,benchmarkjava:src/main/java/org/owasp/benchmark/report/sonarqube/SonarReport.java,benchmarkjava,111,Use a more secure method than basic authentication.,2h,2h,github@darkspirit510.de,"cwe, owasp-a3, sans-top25-porous",2025-02-15T20:50:35+0000,2025-05-29T16:18:00+0000,VULNERABILITY,MAIN,OPEN
AZcc3OKAE4d396A7IEjK,java:S1104,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/report/sonarqube/dto/SonarQubeResult.java,benchmarkjava,11,Make paging a static final constant or non-public and provide accessors if needed.,10min,10min,github@darkspirit510.de,cwe,2025-02-15T20:50:35+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3OKAE4d396A7IEjL,java:S1104,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/report/sonarqube/dto/SonarQubeResult.java,benchmarkjava,13,Make rules a static final constant or non-public and provide accessors if needed.,10min,10min,github@darkspirit510.de,cwe,2025-02-15T20:50:35+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3OKAE4d396A7IEiv,java:S1134,MAJOR,benchmarkjava:src/main/java/org/owasp/benchmark/helpers/LDAPManager.java,benchmarkjava,51,Take the required action to fix the issue indicated by this comment.,0min,0min,analyst@localhost.localdomain,cwe,2024-04-05T19:59:54+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3OKAE4d396A7IEi_,java:S3008,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/helpers/LDAPServer.java,benchmarkjava,52,"Rename this field ""BASE_PARTITION_NAME"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",2min,2min,analyst@localhost.localdomain,convention,2024-04-05T19:59:54+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3OKAE4d396A7IEjA,java:S3008,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/helpers/LDAPServer.java,benchmarkjava,53,"Rename this field ""BASE_DOMAIN"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",2min,2min,analyst@localhost.localdomain,convention,2024-04-05T19:59:54+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3OKAE4d396A7IEjB,java:S3008,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/helpers/LDAPServer.java,benchmarkjava,54,"Rename this field ""BASE_STRUCTURE"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",2min,2min,analyst@localhost.localdomain,convention,2024-04-05T19:59:54+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
AZcc3OKAE4d396A7IEjC,java:S3008,MINOR,benchmarkjava:src/main/java/org/owasp/benchmark/helpers/LDAPServer.java,benchmarkjava,56,"Rename this field ""LDAP_SERVER_PORT"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",2min,2min,analyst@localhost.localdomain,convention,2024-04-05T19:59:54+0000,2025-05-29T16:18:00+0000,CODE_SMELL,MAIN,OPEN
