TestCase,CWE,Expected,Detected
BenchmarkTest01025,pathtraver,True,False
BenchmarkTest01238,pathtraver,True,False
BenchmarkTest00528,pathtraver,True,False
BenchmarkTest00783,pathtraver,True,False
BenchmarkTest02378,pathtraver,True,False
BenchmarkTest01496,pathtraver,True,False
BenchmarkTest02561,pathtraver,True,False
BenchmarkTest01111,pathtraver,True,False
BenchmarkTest00698,pathtraver,True,False
BenchmarkTest00216,pathtraver,True,False
BenchmarkTest01571,pathtraver,True,False
BenchmarkTest00457,pathtraver,True,False
BenchmarkTest02113,pathtraver,True,False
BenchmarkTest01989,pathtraver,True,False
BenchmarkTest01234,pathtraver,True,False
BenchmarkTest01642,pathtraver,True,False
BenchmarkTest00040,pathtraver,True,False
BenchmarkTest00459,pathtraver,True,False
BenchmarkTest00360,pathtraver,True,False
BenchmarkTest02555,pathtraver,True,False
BenchmarkTest02035,pathtraver,False,False
BenchmarkTest01493,pathtraver,False,False
BenchmarkTest02202,pathtraver,False,False
BenchmarkTest00458,pathtraver,False,False
BenchmarkTest01027,pathtraver,False,False
BenchmarkTest01331,pathtraver,False,False
BenchmarkTest00263,pathtraver,False,False
BenchmarkTest02300,pathtraver,False,False
BenchmarkTest02563,pathtraver,False,False
BenchmarkTest02570,pathtraver,False,False
BenchmarkTest01030,pathtraver,False,False
BenchmarkTest00958,pathtraver,False,False
BenchmarkTest00699,pathtraver,False,False
BenchmarkTest02108,pathtraver,False,False
BenchmarkTest02468,pathtraver,False,False
BenchmarkTest00863,pathtraver,False,False
BenchmarkTest01114,pathtraver,False,False
BenchmarkTest00134,pathtraver,False,False
BenchmarkTest01837,pathtraver,False,False
BenchmarkTest01751,pathtraver,False,False
BenchmarkTest01736,xpathi,True,False
BenchmarkTest01894,xpathi,True,False
BenchmarkTest00207,xpathi,True,False
BenchmarkTest02100,xpathi,True,False
BenchmarkTest01316,xpathi,True,False
BenchmarkTest01734,xpathi,True,False
BenchmarkTest00607,xpathi,True,False
