pluginid,alert,riskcode,riskdesc,uri,method,param,attack,evidence
40012,Cross Site Scripting (Reflected),3,High (Medium),https://localhost:8443/benchmark/pathtraver-01/BenchmarkTest01643?BenchmarkTest01643=%EF%BC%9Cimg+src%3Dx+onerror%3Dprompt%28%29%EF%BC%9E&password=ZAP&username=ZAP,GET,BenchmarkTest01643,＜img src=x onerror=prompt()＞,＜img src=x onerror=prompt()＞
40012,Cross Site Scripting (Reflected),3,High (Medium),https://localhost:8443/benchmark/pathtraver-03/BenchmarkTest02559?BenchmarkTest02559=%EF%BC%9Cimg+src%3Dx+onerror%3Dprompt%28%29%EF%BC%9E&password=ZAP&username=ZAP,GET,BenchmarkTest02559,＜img src=x onerror=prompt()＞,＜img src=x onerror=prompt()＞
40012,Cross Site Scripting (Reflected),3,High (Medium),https://localhost:8443/benchmark/xss-00/BenchmarkTest00041?BenchmarkTest00041=%3CscrIpt%3Ealert%281%29%3B%3C%2FscRipt%3E&password=ZAP&username=ZAP,GET,BenchmarkTest00041,<scrIpt>alert(1);</scRipt>,<scrIpt>alert(1);</scRipt>
40012,Cross Site Scripting (Reflected),3,High (Medium),https://localhost:8443/benchmark/xss-00/BenchmarkTest00047?BenchmarkTest00047=%3CscrIpt%3Ealert%281%29%3B%3C%2FscRipt%3E&password=ZAP&username=ZAP,GET,BenchmarkTest00047,<scrIpt>alert(1);</scRipt>,<scrIpt>alert(1);</scRipt>
40012,Cross Site Scripting (Reflected),3,High (Medium),https://localhost:8443/benchmark/xss-00/BenchmarkTest00048?BenchmarkTest00048=%3CscrIpt%3Ealert%281%29%3B%3C%2FscRipt%3E&password=ZAP&username=ZAP,GET,BenchmarkTest00048,<scrIpt>alert(1);</scRipt>,<scrIpt>alert(1);</scRipt>
40012,Cross Site Scripting (Reflected),3,High (Medium),https://localhost:8443/benchmark/xss-00/BenchmarkTest00049?BenchmarkTest00049=%3CscrIpt%3Ealert%281%29%3B%3C%2FscRipt%3E&password=ZAP&username=ZAP,GET,BenchmarkTest00049,<scrIpt>alert(1);</scRipt>,<scrIpt>alert(1);</scRipt>
40012,Cross Site Scripting (Reflected),3,High (Medium),https://localhost:8443/benchmark/xss-00/BenchmarkTest00382?BenchmarkTest00382=%3CscrIpt%3Ealert%281%29%3B%3C%2FscRipt%3E&password=ZAP&username=ZAP,GET,BenchmarkTest00382,<scrIpt>alert(1);</scRipt>,<scrIpt>alert(1);</scRipt>
40012,Cross Site Scripting (Reflected),3,High (Medium),https://localhost:8443/benchmark/xss-00/BenchmarkTest00387?BenchmarkTest00387=%3CscrIpt%3Ealert%281%29%3B%3C%2FscRipt%3E&password=ZAP&username=ZAP,GET,BenchmarkTest00387,<scrIpt>alert(1);</scRipt>,<scrIpt>alert(1);</scRipt>
40012,Cross Site Scripting (Reflected),3,High (Medium),https://localhost:8443/benchmark/xss-00/BenchmarkTest00467?BenchmarkTest00467=%3CscrIpt%3Ealert%281%29%3B%3C%2FscRipt%3E&password=ZAP&username=ZAP,GET,BenchmarkTest00467,<scrIpt>alert(1);</scRipt>,<scrIpt>alert(1);</scRipt>
40012,Cross Site Scripting (Reflected),3,High (Medium),https://localhost:8443/benchmark/xss-00/BenchmarkTest00472?BenchmarkTest00472=%3CscrIpt%3Ealert%281%29%3B%3C%2FscRipt%3E&password=ZAP&username=ZAP,GET,BenchmarkTest00472,<scrIpt>alert(1);</scRipt>,<scrIpt>alert(1);</scRipt>
40012,Cross Site Scripting (Reflected),3,High (Medium),https://localhost:8443/benchmark/xss-00/BenchmarkTest00477?BenchmarkTest00477=%3CscrIpt%3Ealert%281%29%3B%3C%2FscRipt%3E&password=ZAP&username=ZAP,GET,BenchmarkTest00477,<scrIpt>alert(1);</scRipt>,<scrIpt>alert(1);</scRipt>
40012,Cross Site Scripting (Reflected),3,High (Medium),https://localhost:8443/benchmark/xss-00/BenchmarkTest00492?BenchmarkTest00492=%3CscrIpt%3Ealert%281%29%3B%3C%2FscRipt%3E&password=ZAP&username=ZAP,GET,BenchmarkTest00492,<scrIpt>alert(1);</scRipt>,<scrIpt>alert(1);</scRipt>
40012,Cross Site Scripting (Reflected),3,High (Medium),https://localhost:8443/benchmark/xss-01/BenchmarkTest00644?BenchmarkTest00644=%3CscrIpt%3Ealert%281%29%3B%3C%2FscRipt%3E&password=ZAP&username=ZAP,GET,BenchmarkTest00644,<scrIpt>alert(1);</scRipt>,<scrIpt>alert(1);</scRipt>
40012,Cross Site Scripting (Reflected),3,High (Medium),https://localhost:8443/benchmark/xss-01/BenchmarkTest00719?BenchmarkTest00719=%3CscrIpt%3Ealert%281%29%3B%3C%2FscRipt%3E&password=ZAP&username=ZAP,GET,BenchmarkTest00719,<scrIpt>alert(1);</scRipt>,<scrIpt>alert(1);</scRipt>
40012,Cross Site Scripting (Reflected),3,High (Medium),https://localhost:8443/benchmark/xss-01/BenchmarkTest00724?BenchmarkTest00724=%3CscrIpt%3Ealert%281%29%3B%3C%2FscRipt%3E&password=ZAP&username=ZAP,GET,BenchmarkTest00724,<scrIpt>alert(1);</scRipt>,<scrIpt>alert(1);</scRipt>
40012,Cross Site Scripting (Reflected),3,High (Medium),https://localhost:8443/benchmark/xss-01/BenchmarkTest00729?BenchmarkTest00729=%3CscrIpt%3Ealert%281%29%3B%3C%2FscRipt%3E&password=ZAP&username=ZAP,GET,BenchmarkTest00729,<scrIpt>alert(1);</scRipt>,<scrIpt>alert(1);</scRipt>
40012,Cross Site Scripting (Reflected),3,High (Medium),https://localhost:8443/benchmark/xss-01/BenchmarkTest00800?BenchmarkTest00800=%3CscrIpt%3Ealert%281%29%3B%3C%2FscRipt%3E&password=ZAP&username=ZAP,GET,BenchmarkTest00800,<scrIpt>alert(1);</scRipt>,<scrIpt>alert(1);</scRipt>
40012,Cross Site Scripting (Reflected),3,High (Medium),https://localhost:8443/benchmark/xss-01/BenchmarkTest00801?BenchmarkTest00801=%3CscrIpt%3Ealert%281%29%3B%3C%2FscRipt%3E&password=ZAP&username=ZAP,GET,BenchmarkTest00801,<scrIpt>alert(1);</scRipt>,<scrIpt>alert(1);</scRipt>
40012,Cross Site Scripting (Reflected),3,High (Medium),https://localhost:8443/benchmark/xss-01/BenchmarkTest00802?BenchmarkTest00802=%3CscrIpt%3Ealert%281%29%3B%3C%2FscRipt%3E&password=ZAP&username=ZAP,GET,BenchmarkTest00802,<scrIpt>alert(1);</scRipt>,<scrIpt>alert(1);</scRipt>
40012,Cross Site Scripting (Reflected),3,High (Medium),https://localhost:8443/benchmark/xss-01/BenchmarkTest00803?BenchmarkTest00803=%3CscrIpt%3Ealert%281%29%3B%3C%2FscRipt%3E&password=ZAP&username=ZAP,GET,BenchmarkTest00803,<scrIpt>alert(1);</scRipt>,<scrIpt>alert(1);</scRipt>
40012,Cross Site Scripting (Reflected),3,High (Medium),https://localhost:8443/benchmark/xss-01/BenchmarkTest00804?BenchmarkTest00804=%3CscrIpt%3Ealert%281%29%3B%3C%2FscRipt%3E&password=ZAP&username=ZAP,GET,BenchmarkTest00804,<scrIpt>alert(1);</scRipt>,<scrIpt>alert(1);</scRipt>
40012,Cross Site Scripting (Reflected),3,High (Medium),https://localhost:8443/benchmark/xss-01/BenchmarkTest00805?BenchmarkTest00805=%3CscrIpt%3Ealert%281%29%3B%3C%2FscRipt%3E&password=ZAP&username=ZAP,GET,BenchmarkTest00805,<scrIpt>alert(1);</scRipt>,<scrIpt>alert(1);</scRipt>
40012,Cross Site Scripting (Reflected),3,High (Medium),https://localhost:8443/benchmark/xss-01/BenchmarkTest00806?BenchmarkTest00806=%3CscrIpt%3Ealert%281%29%3B%3C%2FscRipt%3E&password=ZAP&username=ZAP,GET,BenchmarkTest00806,<scrIpt>alert(1);</scRipt>,<scrIpt>alert(1);</scRipt>
40012,Cross Site Scripting (Reflected),3,High (Medium),https://localhost:8443/benchmark/xss-01/BenchmarkTest00807?BenchmarkTest00807=%3CscrIpt%3Ealert%281%29%3B%3C%2FscRipt%3E&password=ZAP&username=ZAP,GET,BenchmarkTest00807,<scrIpt>alert(1);</scRipt>,<scrIpt>alert(1);</scRipt>
40012,Cross Site Scripting (Reflected),3,High (Medium),https://localhost:8443/benchmark/xss-01/BenchmarkTest00809?BenchmarkTest00809=%3CscrIpt%3Ealert%281%29%3B%3C%2FscRipt%3E&password=ZAP&username=ZAP,GET,BenchmarkTest00809,<scrIpt>alert(1);</scRipt>,<scrIpt>alert(1);</scRipt>
